case:concept:name,concept:name,time:timestamp
1,Start Claim,2023-01-10 04:55:00
1,Validate Claim Data,2023-01-10 04:58:00
1,Check Credit Score,2023-01-10 05:05:00
1,Evaluate Past Accidents,2023-01-10 05:11:00
1,Make Claim Decision,2023-01-10 05:13:00
1,Review Driving History,2023-01-10 05:25:00
1,Claim Approved or Rejected,2023-01-10 05:30:00
1,Check DUI and Speeding,2023-01-10 05:40:00
1,End Claim,2023-01-10 06:15:00
10,Start Claim,2023-01-20 20:20:00
10,Validate Claim Data,2023-01-20 20:30:00
10,Review Driving History,2023-01-20 20:32:00
10,Check Credit Score,2023-01-20 20:40:00
10,Evaluate Past Accidents,2023-01-20 20:48:00
10,Check DUI and Speeding,2023-01-20 21:00:00
10,Make Claim Decision,2023-01-20 21:02:00
10,Claim Approved or Rejected,2023-01-20 21:23:00
10,End Claim,2023-01-20 21:24:00
100,Start Claim,2023-01-09 20:16:00
100,Validate Claim Data,2023-01-09 20:24:00
100,Check Credit Score,2023-01-09 20:34:00
100,Make Claim Decision,2023-01-09 20:34:00
100,Review Driving History,2023-01-09 20:40:00
100,Evaluate Past Accidents,2023-01-09 20:48:00
100,Check DUI and Speeding,2023-01-09 20:56:00
100,Claim Approved or Rejected,2023-01-09 21:05:00
100,End Claim,2023-01-09 21:20:00
1000,Start Claim,2023-01-17 11:20:00
1000,Validate Claim Data,2023-01-17 11:30:00
1000,Check Credit Score,2023-01-17 11:38:00
1000,Review Driving History,2023-01-17 11:38:00
1000,Check DUI and Speeding,2023-01-17 11:40:00
1000,Evaluate Past Accidents,2023-01-17 11:44:00
1000,Make Claim Decision,2023-01-17 11:44:00
1000,Claim Approved or Rejected,2023-01-17 12:02:00
1000,End Claim,2023-01-17 12:32:00
1001,Start Claim,2023-01-17 16:53:00
1001,Validate Claim Data,2023-01-17 17:00:00
1001,Check Credit Score,2023-01-17 17:01:00
1001,Review Driving History,2023-01-17 17:05:00
1001,Evaluate Past Accidents,2023-01-17 17:09:00
1001,Make Claim Decision,2023-01-17 17:11:00
1001,Claim Approved or Rejected,2023-01-17 17:21:00
1001,Check DUI and Speeding,2023-01-17 17:23:00
1001,End Claim,2023-01-17 18:13:00
1002,Start Claim,2023-01-02 11:24:00
1002,Validate Claim Data,2023-01-02 11:31:00
1002,Check Credit Score,2023-01-02 11:44:00
1002,Evaluate Past Accidents,2023-01-02 11:44:00
1002,Check DUI and Speeding,2023-01-02 11:44:00
1002,Review Driving History,2023-01-02 11:48:00
1002,Make Claim Decision,2023-01-02 12:18:00
1002,Claim Approved or Rejected,2023-01-02 12:20:00
1002,End Claim,2023-01-02 12:44:00
1003,Start Claim,2023-01-29 21:07:00
1003,Validate Claim Data,2023-01-29 21:14:00
1003,Check Credit Score,2023-01-29 21:15:00
1003,Review Driving History,2023-01-29 21:37:00
1003,Evaluate Past Accidents,2023-01-29 21:39:00
1003,Check DUI and Speeding,2023-01-29 21:42:00
1003,Claim Approved or Rejected,2023-01-29 21:49:00
1003,Make Claim Decision,2023-01-29 22:07:00
1003,End Claim,2023-01-29 22:11:00
1004,Start Claim,2023-01-15 09:19:00
1004,Check Credit Score,2023-01-15 09:25:00
1004,Validate Claim Data,2023-01-15 09:26:00
1004,Evaluate Past Accidents,2023-01-15 09:31:00
1004,Check DUI and Speeding,2023-01-15 09:39:00
1004,Review Driving History,2023-01-15 09:43:00
1004,Make Claim Decision,2023-01-15 09:55:00
1004,Claim Approved or Rejected,2023-01-15 10:01:00
1004,End Claim,2023-01-15 10:15:00
1005,Start Claim,2023-01-20 00:08:00
1005,Validate Claim Data,2023-01-20 00:16:00
1005,Review Driving History,2023-01-20 00:17:00
1005,Check Credit Score,2023-01-20 00:28:00
1005,Make Claim Decision,2023-01-20 00:32:00
1005,Evaluate Past Accidents,2023-01-20 00:36:00
1005,Check DUI and Speeding,2023-01-20 00:43:00
1005,Claim Approved or Rejected,2023-01-20 00:43:00
1005,End Claim,2023-01-20 01:04:00
1006,Start Claim,2023-01-02 18:58:00
1006,Validate Claim Data,2023-01-02 19:03:00
1006,Check Credit Score,2023-01-02 19:10:00
1006,Review Driving History,2023-01-02 19:19:00
1006,Evaluate Past Accidents,2023-01-02 19:26:00
1006,Make Claim Decision,2023-01-02 19:28:00
1006,Check DUI and Speeding,2023-01-02 19:38:00
1006,End Claim,2023-01-02 19:46:00
1006,Claim Approved or Rejected,2023-01-02 20:08:00
1007,Start Claim,2023-01-08 14:48:00
1007,Validate Claim Data,2023-01-08 14:52:00
1007,Check Credit Score,2023-01-08 14:58:00
1007,Review Driving History,2023-01-08 15:00:00
1007,Evaluate Past Accidents,2023-01-08 15:16:00
1007,Check DUI and Speeding,2023-01-08 15:18:00
1007,Make Claim Decision,2023-01-08 15:18:00
1007,Claim Approved or Rejected,2023-01-08 15:23:00
1007,End Claim,2023-01-08 15:36:00
1008,Start Claim,2023-01-26 16:04:00
1008,Validate Claim Data,2023-01-26 16:14:00
1008,Review Driving History,2023-01-26 16:16:00
1008,Check Credit Score,2023-01-26 16:24:00
1008,Check DUI and Speeding,2023-01-26 16:24:00
1008,Evaluate Past Accidents,2023-01-26 16:28:00
1008,Make Claim Decision,2023-01-26 16:52:00
1008,Claim Approved or Rejected,2023-01-26 17:00:00
1008,End Claim,2023-01-26 17:24:00
1009,Start Claim,2023-01-03 14:20:00
1009,Validate Claim Data,2023-01-03 14:27:00
1009,Review Driving History,2023-01-03 14:35:00
1009,Check DUI and Speeding,2023-01-03 14:35:00
1009,Check Credit Score,2023-01-03 14:36:00
1009,Claim Approved or Rejected,2023-01-03 14:48:00
1009,Evaluate Past Accidents,2023-01-03 15:00:00
1009,End Claim,2023-01-03 15:16:00
1009,Make Claim Decision,2023-01-03 15:20:00
101,Start Claim,2023-01-30 09:42:00
101,Validate Claim Data,2023-01-30 09:48:00
101,Check Credit Score,2023-01-30 09:52:00
101,Review Driving History,2023-01-30 10:00:00
101,Evaluate Past Accidents,2023-01-30 10:10:00
101,Make Claim Decision,2023-01-30 10:24:00
101,Check DUI and Speeding,2023-01-30 10:27:00
101,End Claim,2023-01-30 10:30:00
101,Claim Approved or Rejected,2023-01-30 10:45:00
1010,Start Claim,2023-01-06 09:26:00
1010,Validate Claim Data,2023-01-06 09:30:00
1010,Review Driving History,2023-01-06 09:44:00
1010,Check Credit Score,2023-01-06 09:46:00
1010,Evaluate Past Accidents,2023-01-06 09:46:00
1010,Check DUI and Speeding,2023-01-06 09:46:00
1010,Make Claim Decision,2023-01-06 10:14:00
1010,Claim Approved or Rejected,2023-01-06 10:29:00
1010,End Claim,2023-01-06 10:46:00
1011,Start Claim,2023-01-06 01:06:00
1011,Validate Claim Data,2023-01-06 01:15:00
1011,Check Credit Score,2023-01-06 01:22:00
1011,Evaluate Past Accidents,2023-01-06 01:26:00
1011,Review Driving History,2023-01-06 01:33:00
1011,End Claim,2023-01-06 01:38:00
1011,Claim Approved or Rejected,2023-01-06 01:41:00
1011,Check DUI and Speeding,2023-01-06 01:56:00
1011,Make Claim Decision,2023-01-06 02:06:00
1012,Start Claim,2023-01-24 19:23:00
1012,Validate Claim Data,2023-01-24 19:26:00
1012,Check Credit Score,2023-01-24 19:29:00
1012,Evaluate Past Accidents,2023-01-24 19:43:00
1012,Make Claim Decision,2023-01-24 19:47:00
1012,Review Driving History,2023-01-24 19:53:00
1012,Claim Approved or Rejected,2023-01-24 19:58:00
1012,Check DUI and Speeding,2023-01-24 20:13:00
1012,End Claim,2023-01-24 20:35:00
1013,Start Claim,2023-01-08 21:58:00
1013,Check Credit Score,2023-01-08 22:06:00
1013,Validate Claim Data,2023-01-08 22:08:00
1013,Claim Approved or Rejected,2023-01-08 22:26:00
1013,Review Driving History,2023-01-08 22:28:00
1013,Make Claim Decision,2023-01-08 22:28:00
1013,Evaluate Past Accidents,2023-01-08 22:30:00
1013,Check DUI and Speeding,2023-01-08 22:43:00
1013,End Claim,2023-01-08 23:10:00
1014,Start Claim,2023-01-10 01:10:00
1014,Validate Claim Data,2023-01-10 01:19:00
1014,Check DUI and Speeding,2023-01-10 01:25:00
1014,Check Credit Score,2023-01-10 01:30:00
1014,Review Driving History,2023-01-10 01:34:00
1014,Make Claim Decision,2023-01-10 01:34:00
1014,Evaluate Past Accidents,2023-01-10 01:38:00
1014,Claim Approved or Rejected,2023-01-10 01:59:00
1014,End Claim,2023-01-10 02:30:00
1015,Start Claim,2023-01-07 06:52:00
1015,Validate Claim Data,2023-01-07 07:00:00
1015,Review Driving History,2023-01-07 07:07:00
1015,Check DUI and Speeding,2023-01-07 07:07:00
1015,Check Credit Score,2023-01-07 07:10:00
1015,End Claim,2023-01-07 07:16:00
1015,Evaluate Past Accidents,2023-01-07 07:20:00
1015,Make Claim Decision,2023-01-07 07:22:00
1015,Claim Approved or Rejected,2023-01-07 07:27:00
1016,Start Claim,2023-01-17 17:06:00
1016,Validate Claim Data,2023-01-17 17:13:00
1016,Make Claim Decision,2023-01-17 17:24:00
1016,Check Credit Score,2023-01-17 17:26:00
1016,Review Driving History,2023-01-17 17:27:00
1016,Check DUI and Speeding,2023-01-17 17:41:00
1016,Evaluate Past Accidents,2023-01-17 17:46:00
1016,Claim Approved or Rejected,2023-01-17 17:55:00
1016,End Claim,2023-01-17 18:26:00
1017,Start Claim,2023-02-03 09:49:00
1017,Validate Claim Data,2023-02-03 09:53:00
1017,Review Driving History,2023-02-03 09:58:00
1017,Check Credit Score,2023-02-03 10:03:00
1017,Check DUI and Speeding,2023-02-03 10:04:00
1017,Evaluate Past Accidents,2023-02-03 10:05:00
1017,Make Claim Decision,2023-02-03 10:13:00
1017,Claim Approved or Rejected,2023-02-03 10:38:00
1017,End Claim,2023-02-03 10:53:00
1018,Start Claim,2023-01-26 03:54:00
1018,Validate Claim Data,2023-01-26 04:04:00
1018,Review Driving History,2023-01-26 04:09:00
1018,Check Credit Score,2023-01-26 04:10:00
1018,Check DUI and Speeding,2023-01-26 04:29:00
1018,Evaluate Past Accidents,2023-01-26 04:30:00
1018,Make Claim Decision,2023-01-26 04:36:00
1018,End Claim,2023-01-26 04:42:00
1018,Claim Approved or Rejected,2023-01-26 04:57:00
1019,Start Claim,2023-02-01 09:38:00
1019,Validate Claim Data,2023-02-01 09:45:00
1019,Check Credit Score,2023-02-01 09:46:00
1019,Make Claim Decision,2023-02-01 09:56:00
1019,Evaluate Past Accidents,2023-02-01 09:58:00
1019,Review Driving History,2023-02-01 09:59:00
1019,Claim Approved or Rejected,2023-02-01 09:59:00
1019,Check DUI and Speeding,2023-02-01 10:18:00
1019,End Claim,2023-02-01 10:26:00
102,Start Claim,2023-01-08 02:18:00
102,Validate Claim Data,2023-01-08 02:27:00
102,Check DUI and Speeding,2023-01-08 02:33:00
102,Check Credit Score,2023-01-08 02:34:00
102,Evaluate Past Accidents,2023-01-08 02:34:00
102,Claim Approved or Rejected,2023-01-08 02:46:00
102,Review Driving History,2023-01-08 02:48:00
102,End Claim,2023-01-08 02:58:00
102,Make Claim Decision,2023-01-08 03:18:00
1020,Start Claim,2023-01-20 07:59:00
1020,Check Credit Score,2023-01-20 08:05:00
1020,Validate Claim Data,2023-01-20 08:08:00
1020,Evaluate Past Accidents,2023-01-20 08:11:00
1020,Review Driving History,2023-01-20 08:17:00
1020,End Claim,2023-01-20 08:23:00
1020,Check DUI and Speeding,2023-01-20 08:49:00
1020,Make Claim Decision,2023-01-20 08:59:00
1020,Claim Approved or Rejected,2023-01-20 09:02:00
1021,Start Claim,2023-01-23 15:40:00
1021,Validate Claim Data,2023-01-23 15:47:00
1021,Check Credit Score,2023-01-23 15:56:00
1021,Review Driving History,2023-01-23 15:58:00
1021,Check DUI and Speeding,2023-01-23 16:00:00
1021,Evaluate Past Accidents,2023-01-23 16:04:00
1021,Claim Approved or Rejected,2023-01-23 16:22:00
1021,Make Claim Decision,2023-01-23 16:34:00
1021,End Claim,2023-01-23 16:44:00
1022,Start Claim,2023-01-10 06:48:00
1022,Check Credit Score,2023-01-10 06:54:00
1022,Review Driving History,2023-01-10 06:57:00
1022,Validate Claim Data,2023-01-10 06:58:00
1022,Evaluate Past Accidents,2023-01-10 07:16:00
1022,Make Claim Decision,2023-01-10 07:18:00
1022,Check DUI and Speeding,2023-01-10 07:33:00
1022,Claim Approved or Rejected,2023-01-10 07:37:00
1022,End Claim,2023-01-10 08:00:00
1023,Start Claim,2023-01-25 19:42:00
1023,Validate Claim Data,2023-01-25 19:47:00
1023,Check Credit Score,2023-01-25 19:54:00
1023,Claim Approved or Rejected,2023-01-25 20:03:00
1023,Review Driving History,2023-01-25 20:09:00
1023,Evaluate Past Accidents,2023-01-25 20:18:00
1023,Check DUI and Speeding,2023-01-25 20:22:00
1023,Make Claim Decision,2023-01-25 20:24:00
1023,End Claim,2023-01-25 20:38:00
1024,Start Claim,2023-01-31 09:28:00
1024,Validate Claim Data,2023-01-31 09:33:00
1024,Check Credit Score,2023-01-31 09:38:00
1024,Evaluate Past Accidents,2023-01-31 09:44:00
1024,Claim Approved or Rejected,2023-01-31 09:49:00
1024,Review Driving History,2023-01-31 09:52:00
1024,Check DUI and Speeding,2023-01-31 10:18:00
1024,Make Claim Decision,2023-01-31 10:22:00
1024,End Claim,2023-01-31 10:32:00
1025,Start Claim,2023-02-04 02:38:00
